y,x,b,x1,y1,x2,y2
51.984502,4.333903,296.676531,51.984743,4.334100,51.984260,4.333707
51.984517,4.334002,316.822891,51.984702,4.334322,51.984332,4.333683
51.984539,4.334100,326.203768,51.984689,4.334464,51.984389,4.333736
51.984563,4.334197,329.767755,51.984699,4.334575,51.984427,4.333818
51.984588,4.334294,329.901905,51.984723,4.334673,51.984453,4.333915
51.984609,4.334391,325.861608,51.984761,4.334754,51.984458,4.334029
51.984619,4.334491,302.636487,51.984846,4.334727,51.984391,4.334254
51.984619,4.334591,273.171757,51.984889,4.334615,51.984350,4.334566
51.984628,4.334690,299.837816,51.984862,4.334908,51.984394,4.334472
