y,x,b,x1,y1,x2,y2
52.011098,4.329828,11.166577,52.011046,4.330258,52.011151,4.329398
52.011164,4.329753,11.170652,52.011112,4.330183,52.011217,4.329323
52.011230,4.329678,11.174726,52.011178,4.330108,52.011283,4.329248
52.011276,4.329742,346.265223,52.011340,4.330168,52.011212,4.329316
52.011318,4.329833,339.166966,52.011414,4.330243,52.011222,4.329423
52.011359,4.329924,339.162485,52.011455,4.330334,52.011263,4.329514
52.011401,4.330015,339.158004,52.011497,4.330425,52.011305,4.329605
52.011443,4.330106,339.153523,52.011539,4.330516,52.011347,4.329696
52.011484,4.330197,339.149042,52.011580,4.330606,52.011388,4.329787
52.011526,4.330288,339.144562,52.011622,4.330697,52.011430,4.329878
52.011567,4.330379,339.140082,52.011663,4.330788,52.011471,4.329969
52.011609,4.330470,339.135603,52.011705,4.330879,52.011513,4.330060
52.011651,4.330561,339.131123,52.011747,4.330970,52.011554,4.330151
52.011692,4.330651,339.126644,52.011788,4.331061,52.011596,4.330242
52.011734,4.330742,339.122166,52.011830,4.331152,52.011638,4.330333
52.011692,4.330822,198.095884,52.011775,4.330405,52.011608,4.331238
52.011627,4.330898,191.519869,52.011680,4.330468,52.011573,4.331327
52.011561,4.330974,191.515754,52.011615,4.330544,52.011508,4.331403
