y,x,b,x1,y1,x2,y2
51.988948,4.328567,171.292525,51.988908,4.328134,51.988989,4.329000
51.988883,4.328491,169.993041,51.988836,4.328059,51.988930,4.328922
51.988822,4.328412,168.795830,51.988770,4.327982,51.988875,4.328841
51.988770,4.328327,166.257861,51.988706,4.327901,51.988834,4.328752
51.988717,4.328242,166.262400,51.988653,4.327816,51.988781,4.328667
51.988667,4.328155,165.115598,51.988598,4.327732,51.988737,4.328578
51.988631,4.328062,159.055870,51.988534,4.327653,51.988727,4.328471
51.988597,4.327968,156.828831,51.988491,4.327565,51.988703,4.328371
51.988564,4.327874,156.833343,51.988458,4.327471,51.988670,4.328276
51.988530,4.327779,156.837854,51.988424,4.327377,51.988636,4.328182
51.988497,4.327685,156.842366,51.988391,4.327282,51.988603,4.328088
51.988463,4.327591,156.846879,51.988357,4.327188,51.988570,4.327994
51.988430,4.327497,156.851391,51.988324,4.327094,51.988536,4.327899
51.988397,4.327402,156.873205,51.988291,4.326999,51.988503,4.327805
51.988362,4.327308,157.539138,51.988259,4.326904,51.988465,4.327713
51.988326,4.327215,158.580016,51.988228,4.326807,51.988425,4.327623
51.988290,4.327122,158.584594,51.988192,4.326714,51.988389,4.327530
51.988254,4.327029,158.589173,51.988156,4.326621,51.988353,4.327436
51.988218,4.326935,158.593753,51.988120,4.326527,51.988317,4.327343
51.988182,4.326842,158.598332,51.988084,4.326434,51.988281,4.327250
51.988146,4.326749,158.594737,51.988048,4.326341,51.988245,4.327157
51.988110,4.326655,158.401611,51.988011,4.326248,51.988210,4.327063
51.988077,4.326561,157.070445,51.987972,4.326158,51.988182,4.326965
51.988043,4.326467,157.074969,51.987938,4.326063,51.988148,4.326870
51.988009,4.326373,157.079493,51.987904,4.325969,51.988115,4.326776
51.988153,4.326326,337.998427,51.988254,4.326732,51.988052,4.325920
51.988188,4.326419,337.993868,51.988289,4.326826,51.988087,4.326013
51.988223,4.326513,337.989308,51.988324,4.326919,51.988122,4.326107
