y,x,b,x1,y1,x2,y2
52.009166,4.332164,10.546557,52.009116,4.332595,52.009215,4.331733
52.009176,4.332082,53.431590,52.008959,4.332343,52.009393,4.331820
52.009133,4.331991,160.085138,52.009041,4.331579,52.009225,4.332403
52.009088,4.331902,161.022084,52.009001,4.331487,52.009176,4.332316
52.009046,4.331811,159.820924,52.008953,4.331400,52.009139,4.332223
52.009006,4.331720,158.445705,52.008907,4.331312,52.009105,4.332127
52.008965,4.331628,158.963904,52.008869,4.331219,52.009062,4.332037
52.008922,4.331538,160.420859,52.008832,4.331125,52.009012,4.331951
52.008880,4.331448,159.643862,52.008786,4.331037,52.008974,4.331859
52.008844,4.331354,155.754844,52.008734,4.330954,52.008955,4.331754
52.008798,4.331324,173.744191,52.008768,4.330889,52.008827,4.331760
52.008733,4.331400,191.359317,52.008786,4.330971,52.008680,4.331830
52.008668,4.331476,191.355192,52.008721,4.331047,52.008615,4.331906
52.008603,4.331552,191.351066,52.008656,4.331123,52.008550,4.331982
52.008538,4.331629,191.346940,52.008591,4.331199,52.008485,4.332058
52.008473,4.331705,191.342814,52.008526,4.331275,52.008420,4.332134
52.008409,4.331781,191.551281,52.008463,4.331352,52.008355,4.332211
52.008345,4.331858,191.711804,52.008400,4.331429,52.008290,4.332287
52.008281,4.331935,191.707631,52.008336,4.331506,52.008227,4.332365
52.008218,4.332012,191.703458,52.008272,4.331583,52.008163,4.332442
52.008154,4.332090,191.699285,52.008209,4.331660,52.008099,4.332519
52.008089,4.332165,191.180968,52.008141,4.331735,52.008036,4.332595
