y,x,b,x1,y1,x2,y2
52.011790,4.332424,128.269369,52.011578,4.332153,52.012002,4.332695
52.011768,4.332326,142.071039,52.011602,4.331981,52.011934,4.332672
52.011733,4.332233,155.359665,52.011620,4.331835,52.011845,4.332632
52.011693,4.332142,158.086454,52.011592,4.331735,52.011794,4.332548
52.011653,4.332050,158.090909,52.011552,4.331643,52.011754,4.332456
52.011613,4.331958,158.095364,52.011513,4.331551,52.011714,4.332365
52.011574,4.331866,158.099819,52.011473,4.331460,52.011674,4.332273
52.011535,4.331774,157.312069,52.011431,4.331370,52.011639,4.332178
52.011499,4.331681,155.493192,52.011387,4.331282,52.011611,4.332080
52.011458,4.331590,158.965975,52.011361,4.331181,52.011555,4.331999
52.010810,4.330484,338.576715,52.010909,4.330892,52.010712,4.330075
52.010851,4.330575,338.696072,52.010949,4.330983,52.010753,4.330166
52.010892,4.330666,338.893194,52.010989,4.331075,52.010795,4.330257
52.010934,4.330757,339.377846,52.011029,4.331167,52.010839,4.330347
52.010976,4.330848,339.436150,52.011071,4.331258,52.010881,4.330437
52.011018,4.330938,339.431662,52.011113,4.331349,52.010923,4.330528
52.011060,4.331029,339.427174,52.011155,4.331439,52.010965,4.330619
52.011102,4.331120,339.422687,52.011197,4.331530,52.011007,4.330709
52.011143,4.331211,338.794318,52.011241,4.331620,52.011045,4.330802
52.011181,4.331303,337.063208,52.011286,4.331707,52.011076,4.330900
52.011220,4.331396,337.317684,52.011324,4.331800,52.011115,4.330991
52.011260,4.331487,338.306845,52.011359,4.331895,52.011160,4.331080
52.011300,4.331579,338.302383,52.011399,4.331986,52.011200,4.331172
52.011847,4.332516,97.929933,52.011579,4.332456,52.012114,4.332577
52.011843,4.332416,100.073619,52.011578,4.332339,52.012109,4.332493
52.011824,4.332320,139.457752,52.011648,4.331987,52.011999,4.332653
52.011784,4.332228,157.859546,52.011683,4.331822,52.011886,4.332634
52.011745,4.332136,157.863994,52.011643,4.331730,52.011847,4.332542
52.011706,4.332044,157.868442,52.011604,4.331638,52.011807,4.332450
52.011666,4.331952,157.872891,52.011564,4.331546,52.011768,4.332358
52.011627,4.331860,157.877340,52.011525,4.331454,52.011728,4.332266
52.011587,4.331768,157.881789,52.011486,4.331362,52.011689,4.332175
52.011548,4.331677,157.886239,52.011446,4.331270,52.011649,4.332083
52.011508,4.331585,158.079179,52.011407,4.331178,52.011609,4.331991
52.011468,4.331493,158.109466,52.011368,4.331086,52.011569,4.331900
52.011428,4.331401,158.113923,52.011328,4.330995,52.011529,4.331808
52.011387,4.331311,159.253805,52.011291,4.330901,52.011482,4.331720
52.011339,4.331223,162.368255,52.011257,4.330805,52.011420,4.331641
52.011296,4.331133,159.918928,52.011203,4.330721,52.011388,4.331544
52.011253,4.331042,159.864903,52.011160,4.330631,52.011346,4.331454
52.011211,4.330952,159.421928,52.011116,4.330541,52.011306,4.331362
52.011169,4.330861,159.426414,52.011074,4.330450,52.011263,4.331271
52.011127,4.330770,159.430901,52.011032,4.330360,52.011221,4.331180
52.011085,4.330679,159.435388,52.010990,4.330269,52.011179,4.331090
52.011042,4.330589,159.439875,52.010948,4.330178,52.011137,4.330999
52.011001,4.330498,159.243827,52.010905,4.330088,52.011096,4.330908
52.010960,4.330407,158.900874,52.010863,4.329998,52.011057,4.330815
52.010919,4.330315,158.905352,52.010822,4.329906,52.011016,4.330724
