y,x,b,x1,y1,x2,y2
51.989582,4.326761,156.951084,51.989477,4.326357,51.989688,4.327164
51.989549,4.326666,156.955597,51.989443,4.326263,51.989654,4.327070
51.989515,4.326572,156.960110,51.989409,4.326169,51.989620,4.326975
51.989481,4.326478,156.964623,51.989375,4.326075,51.989587,4.326881
51.989447,4.326384,156.969136,51.989342,4.325981,51.989553,4.326787
51.989413,4.326290,156.973650,51.989308,4.325887,51.989519,4.326693
51.989380,4.326196,156.978165,51.989274,4.325793,51.989485,4.326599
51.989346,4.326102,156.982679,51.989240,4.325698,51.989451,4.326505
51.989312,4.326008,156.987194,51.989207,4.325604,51.989418,4.326411
51.989278,4.325913,156.991709,51.989173,4.325510,51.989384,4.326317
51.989244,4.325819,156.996225,51.989139,4.325416,51.989350,4.326223
51.989211,4.325725,157.000741,51.989105,4.325322,51.989316,4.326128
51.989177,4.325631,157.005257,51.989072,4.325228,51.989282,4.326034
