y,x,b,x1,y1,x2,y2
51.991788,4.333416,359.732313,51.991789,4.333855,51.991787,4.332978
51.991888,4.333419,359.732143,51.991889,4.333858,51.991887,4.332981
51.991987,4.333430,359.089362,51.991992,4.333868,51.991983,4.332991
51.992086,4.333443,358.757360,51.992092,4.333881,51.992081,4.333005
51.992186,4.333457,358.756577,51.992191,4.333895,51.992180,4.333019
51.992283,4.333480,357.894665,51.992293,4.333918,51.992273,4.333042
51.992380,4.333505,357.731638,51.992390,4.333943,51.992369,4.333067
51.992477,4.333530,357.730243,51.992487,4.333967,51.992466,4.333092
51.992573,4.333554,357.728848,51.992584,4.333992,51.992563,4.333117
51.992667,4.333589,356.734349,51.992682,4.334026,51.992652,4.333151
51.992759,4.333628,356.144767,51.992777,4.334065,51.992741,4.333191
51.992851,4.333668,356.142531,51.992869,4.334105,51.992833,4.333231
51.992932,4.333725,353.776172,51.992961,4.334160,51.992903,4.333289
51.993008,4.333789,352.458424,51.993044,4.334224,51.992973,4.333355
51.993046,4.333876,340.647657,51.993136,4.334289,51.992957,4.333462
51.993062,4.333974,315.233041,51.993252,4.334286,51.992872,4.333663
51.993067,4.334074,288.868359,51.993323,4.334216,51.992812,4.333933
51.993073,4.334174,288.867768,51.993328,4.334316,51.992817,4.334032
51.993078,4.334274,288.867176,51.993333,4.334416,51.992823,4.334132
51.993089,4.334373,306.556133,51.993306,4.334634,51.992873,4.334112
51.993104,4.334472,313.479388,51.993300,4.334774,51.992908,4.334171
