y,x,b,x1,y1,x2,y2
52.011133,4.330907,159.209983,52.011038,4.330497,52.011229,4.331317
52.011092,4.330816,159.214466,52.010996,4.330406,52.011188,4.331226
52.011050,4.330725,159.218950,52.010954,4.330316,52.011146,4.331135
52.011008,4.330634,159.223434,52.010913,4.330225,52.011104,4.331044
52.010967,4.330543,159.104851,52.010871,4.330134,52.011063,4.330953
52.010926,4.330452,158.846126,52.010829,4.330043,52.011023,4.330861
52.010885,4.330361,158.850603,52.010788,4.329952,52.010982,4.330770
52.010810,4.330484,338.576715,52.010909,4.330892,52.010712,4.330075
52.010851,4.330575,338.696072,52.010949,4.330983,52.010753,4.330166
52.010892,4.330666,338.893194,52.010989,4.331075,52.010795,4.330257
52.010934,4.330757,339.377846,52.011029,4.331167,52.010839,4.330347
52.010976,4.330848,339.436150,52.011071,4.331258,52.010881,4.330437
52.011018,4.330938,339.431662,52.011113,4.331349,52.010923,4.330528
52.011060,4.331029,339.427174,52.011155,4.331439,52.010965,4.330619
52.011102,4.331120,339.422687,52.011197,4.331530,52.011007,4.330709
52.011143,4.331211,338.794318,52.011241,4.331620,52.011045,4.330802
52.011181,4.331303,337.063208,52.011286,4.331707,52.011076,4.330900
52.011220,4.331396,337.317684,52.011324,4.331800,52.011115,4.330991
52.011260,4.331487,338.306845,52.011359,4.331895,52.011160,4.331080
52.011300,4.331579,338.302383,52.011399,4.331986,52.011200,4.331172
52.010766,4.330524,339.354773,52.010861,4.330935,52.010671,4.330114
52.010808,4.330615,339.350285,52.010903,4.331025,52.010713,4.330205
52.010850,4.330706,339.345798,52.010945,4.331116,52.010755,4.330296
52.010892,4.330797,339.306585,52.010987,4.331207,52.010796,4.330387
52.010933,4.330888,339.293105,52.011029,4.331298,52.010838,4.330478
52.010975,4.330979,339.288619,52.011071,4.331389,52.010880,4.330569
52.011017,4.331069,339.284134,52.011112,4.331479,52.010921,4.330659
52.011059,4.331160,339.279649,52.011154,4.331570,52.010963,4.330750
52.011100,4.331251,339.275164,52.011196,4.331661,52.011005,4.330841
52.011142,4.331342,339.270679,52.011238,4.331752,52.011047,4.330932
52.011184,4.331433,339.268525,52.011279,4.331843,52.011088,4.331023
52.011226,4.331524,339.279181,52.011321,4.331934,52.011130,4.331114
52.011268,4.331615,339.274697,52.011363,4.332025,52.011172,4.331205
