y,x,b,x1,y1,x2,y2
52.010009,4.325723,338.178996,52.010110,4.326130,52.009909,4.325317
52.010049,4.325815,338.174531,52.010149,4.326222,52.009949,4.325408
52.010089,4.325907,338.170066,52.010189,4.326314,52.009988,4.325500
52.010128,4.325999,338.165602,52.010229,4.326406,52.010028,4.325592
52.010168,4.326091,338.161137,52.010268,4.326498,52.010068,4.325684
52.010208,4.326182,338.156059,52.010308,4.326589,52.010107,4.325776
52.010247,4.326274,338.118677,52.010348,4.326681,52.010147,4.325868
52.010287,4.326366,338.114215,52.010387,4.326773,52.010186,4.325959
52.010326,4.326458,338.109753,52.010427,4.326865,52.010226,4.326051
52.010366,4.326550,338.105291,52.010466,4.326957,52.010265,4.326143
52.010405,4.326642,338.100829,52.010506,4.327048,52.010305,4.326235
52.010445,4.326733,338.096368,52.010546,4.327140,52.010344,4.326327
52.010485,4.326825,338.091907,52.010585,4.327232,52.010384,4.326419
52.010524,4.326917,338.087446,52.010625,4.327324,52.010423,4.326510
52.009330,4.325664,5.808989,52.009303,4.326100,52.009358,4.325228
52.009416,4.325613,5.871564,52.009389,4.326049,52.009444,4.325177
52.009502,4.325561,5.895482,52.009474,4.325997,52.009530,4.325125
52.009588,4.325510,5.845324,52.009560,4.325946,52.009615,4.325074
52.009674,4.325460,5.770796,52.009647,4.325896,52.009701,4.325024
