y,x,b,x1,y1,x2,y2
52.011133,4.330907,159.209983,52.011038,4.330497,52.011229,4.331317
52.011092,4.330816,159.214466,52.010996,4.330406,52.011188,4.331226
52.011050,4.330725,159.218950,52.010954,4.330316,52.011146,4.331135
52.011008,4.330634,159.223434,52.010913,4.330225,52.011104,4.331044
52.010967,4.330543,159.104851,52.010871,4.330134,52.011063,4.330953
52.010926,4.330452,158.846126,52.010829,4.330043,52.011023,4.330861
52.010885,4.330361,158.850603,52.010788,4.329952,52.010982,4.330770
52.011098,4.329828,11.166577,52.011046,4.330258,52.011151,4.329398
52.011164,4.329753,11.170652,52.011112,4.330183,52.011217,4.329323
52.011230,4.329678,11.174726,52.011178,4.330108,52.011283,4.329248
52.011276,4.329742,346.265223,52.011340,4.330168,52.011212,4.329316
52.011318,4.329833,339.166966,52.011414,4.330243,52.011222,4.329423
52.011359,4.329924,339.162485,52.011455,4.330334,52.011263,4.329514
52.011401,4.330015,339.158004,52.011497,4.330425,52.011305,4.329605
52.011443,4.330106,339.153523,52.011539,4.330516,52.011347,4.329696
52.011484,4.330197,339.149042,52.011580,4.330606,52.011388,4.329787
52.011526,4.330288,339.144562,52.011622,4.330697,52.011430,4.329878
52.011567,4.330379,339.140082,52.011663,4.330788,52.011471,4.329969
52.011609,4.330470,339.135603,52.011705,4.330879,52.011513,4.330060
52.011651,4.330561,339.131123,52.011747,4.330970,52.011554,4.330151
52.011692,4.330651,339.126644,52.011788,4.331061,52.011596,4.330242
52.011734,4.330742,339.122166,52.011830,4.331152,52.011638,4.330333
52.011692,4.330822,198.095884,52.011775,4.330405,52.011608,4.331238
52.011627,4.330898,191.519869,52.011680,4.330468,52.011573,4.331327
52.011561,4.330974,191.515754,52.011615,4.330544,52.011508,4.331403
52.011847,4.332516,97.929933,52.011579,4.332456,52.012114,4.332577
52.011843,4.332416,100.073619,52.011578,4.332339,52.012109,4.332493
52.011824,4.332320,139.457752,52.011648,4.331987,52.011999,4.332653
52.011784,4.332228,157.859546,52.011683,4.331822,52.011886,4.332634
52.011745,4.332136,157.863994,52.011643,4.331730,52.011847,4.332542
52.011706,4.332044,157.868442,52.011604,4.331638,52.011807,4.332450
52.011666,4.331952,157.872891,52.011564,4.331546,52.011768,4.332358
52.011627,4.331860,157.877340,52.011525,4.331454,52.011728,4.332266
52.011587,4.331768,157.881789,52.011486,4.331362,52.011689,4.332175
52.011548,4.331677,157.886239,52.011446,4.331270,52.011649,4.332083
52.011508,4.331585,158.079179,52.011407,4.331178,52.011609,4.331991
52.011468,4.331493,158.109466,52.011368,4.331086,52.011569,4.331900
52.011428,4.331401,158.113923,52.011328,4.330995,52.011529,4.331808
52.011387,4.331311,159.253805,52.011291,4.330901,52.011482,4.331720
52.011339,4.331223,162.368255,52.011257,4.330805,52.011420,4.331641
52.011296,4.331133,159.918928,52.011203,4.330721,52.011388,4.331544
52.011253,4.331042,159.864903,52.011160,4.330631,52.011346,4.331454
52.011211,4.330952,159.421928,52.011116,4.330541,52.011306,4.331362
52.011169,4.330861,159.426414,52.011074,4.330450,52.011263,4.331271
52.011127,4.330770,159.430901,52.011032,4.330360,52.011221,4.331180
52.011085,4.330679,159.435388,52.010990,4.330269,52.011179,4.331090
52.011042,4.330589,159.439875,52.010948,4.330178,52.011137,4.330999
52.011001,4.330498,159.243827,52.010905,4.330088,52.011096,4.330908
52.010960,4.330407,158.900874,52.010863,4.329998,52.011057,4.330815
52.010919,4.330315,158.905352,52.010822,4.329906,52.011016,4.330724
