y,x,b,x1,y1,x2,y2
51.990329,4.333617,183.659944,51.990347,4.333180,51.990312,4.334054
51.990236,4.333651,183.183731,51.990251,4.333214,51.990221,4.334089
51.990139,4.333674,182.079392,51.990148,4.333236,51.990129,4.334112
51.990039,4.333678,180.364856,51.990040,4.333240,51.990037,4.334116
51.989940,4.333662,178.548054,51.989933,4.333224,51.989947,4.334100
51.989841,4.333646,178.548979,51.989835,4.333208,51.989848,4.334084
51.989743,4.333629,178.549903,51.989736,4.333191,51.989750,4.334067
51.989644,4.333613,178.550828,51.989637,4.333175,51.989651,4.334051
51.989545,4.333597,178.551752,51.989539,4.333159,51.989552,4.334035
51.989447,4.333580,178.552677,51.989440,4.333142,51.989454,4.334018
51.989348,4.333564,178.553601,51.989341,4.333126,51.989355,4.334002
51.989249,4.333548,178.554526,51.989243,4.333110,51.989256,4.333986
51.989151,4.333531,178.555450,51.989144,4.333093,51.989158,4.333969
51.989052,4.333515,178.546276,51.989045,4.333077,51.989059,4.333953
51.988956,4.333486,177.394648,51.988944,4.333049,51.988969,4.333924
51.988861,4.333514,182.518838,51.988873,4.333076,51.988849,4.333952
51.988765,4.333544,182.734780,51.988778,4.333106,51.988753,4.333981
51.988673,4.333582,183.616502,51.988690,4.333145,51.988656,4.334020
51.988581,4.333621,183.614334,51.988598,4.333183,51.988564,4.334058
51.988490,4.333662,183.921962,51.988508,4.333225,51.988471,4.334099
51.988400,4.333706,184.233439,51.988420,4.333269,51.988380,4.334143
51.988310,4.333750,184.230967,51.988330,4.333313,51.988290,4.334187
51.988239,4.333819,188.423969,51.988278,4.333386,51.988199,4.334253
51.988219,4.333916,216.015607,51.988377,4.333562,51.988060,4.334270
51.988211,4.334015,244.585373,51.988455,4.333827,51.987968,4.334203
51.988210,4.334115,264.727046,51.988479,4.334075,51.987941,4.334156
51.988209,4.334215,264.726998,51.988477,4.334175,51.987940,4.334256
51.988208,4.334315,268.926961,51.988478,4.334307,51.987939,4.334324
