y,x,b,x1,y1,x2,y2
51.990915,4.333793,234.721662,51.991135,4.333540,51.990695,4.334046
51.990905,4.333892,237.339455,51.991132,4.333656,51.990678,4.334129
51.990897,4.333992,243.183098,51.991138,4.333794,51.990657,4.334190
51.990890,4.334092,243.181949,51.991131,4.333894,51.990649,4.334289
51.990884,4.334191,249.512798,51.991137,4.334038,51.990631,4.334345
51.990880,4.334291,254.920642,51.991140,4.334177,51.990619,4.334405
51.990876,4.334391,254.920259,51.991136,4.334277,51.990615,4.334505
51.990874,4.334491,262.099674,51.991141,4.334431,51.990606,4.334551
51.990872,4.334591,263.339630,51.991140,4.334540,51.990604,4.334642
51.990870,4.334691,263.339554,51.991138,4.334640,51.990602,4.334742
51.990868,4.334791,263.339478,51.991136,4.334740,51.990600,4.334842
51.990870,4.334891,275.940824,51.991138,4.334937,51.990601,4.334846
51.990873,4.334991,281.694123,51.991137,4.335080,51.990609,4.334902
51.990876,4.335091,281.693890,51.991140,4.335180,51.990612,4.335002
51.990883,4.335191,293.503348,51.991130,4.335366,51.990635,4.335016
51.990894,4.335290,306.026094,51.991112,4.335548,51.990676,4.335032
51.990906,4.335389,307.432746,51.991120,4.335656,51.990691,4.335123
51.990934,4.335485,332.729408,51.991058,4.335874,51.990811,4.335096
51.990977,4.335574,342.302903,51.991059,4.335992,51.990895,4.335157
51.991038,4.335654,348.564993,51.991091,4.336083,51.990984,4.335224
