geo_index,rp_lat,rp_lon,b,label
17899,52.00556456854491,4.36792053835177,345.80994250914983,Matig
17900,52.00556456854491,4.36792053835177,345.80994250914983,Matig
17905,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17906,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17907,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17908,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17909,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17910,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17911,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17912,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17913,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17914,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17915,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17916,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17917,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17918,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17919,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17920,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17921,52.0049060510692,4.368428492680149,170.52660035626093,Slecht
17922,52.0049060510692,4.368428492680149,170.52660035626093,Slecht
17923,52.0049060510692,4.368428492680149,170.52660035626093,Slecht
17924,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17925,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17926,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17927,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17928,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17929,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17930,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17931,52.0049060510692,4.368428492680149,170.52660035626093,Matig
17932,52.0049060510692,4.368428492680149,170.52660035626093,Slecht
17933,52.00556456854491,4.36792053835177,345.80994250914983,Matig
17934,52.00556456854491,4.36792053835177,345.80994250914983,Matig
17935,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17936,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
17937,52.00556456854491,4.36792053835177,345.80994250914983,Matig
17938,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
17939,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
17940,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
17941,52.003743086262155,4.366948131911022,33.0707330069539,Redelijk
17942,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17943,52.003743086262155,4.366948131911022,33.0707330069539,Slecht
17944,52.003743086262155,4.366948131911022,33.0707330069539,Matig
17945,52.00583316103074,4.3669489086511515,351.58579400301807,Redelijk
17946,52.00583316103074,4.3669489086511515,351.58579400301807,Redelijk
17947,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17948,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17949,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17950,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17951,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17952,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17953,52.0061729669011,4.366271209661061,150.5932665609763,Matig
17954,52.004607076894644,4.365501533881509,333.4823485471971,Matig
17955,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
17956,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
17957,52.00285689267605,4.365820153268142,8.80570278617131,Slecht
17958,52.00285689267605,4.365820153268142,8.80570278617131,Redelijk
