y,x,b,x1,y1,x2,y2
51.990700,4.332721,50.134420,51.990493,4.333002,51.990907,4.332441
51.990730,4.332626,26.381426,51.990610,4.333018,51.990850,4.332233
51.989524,4.332946,358.740877,51.989530,4.333384,51.989518,4.332507
51.989623,4.332960,358.740070,51.989629,4.333398,51.989617,4.332522
51.989722,4.332974,358.739263,51.989728,4.333412,51.989716,4.332536
51.989821,4.332988,358.738457,51.989827,4.333426,51.989815,4.332550
51.989920,4.333003,358.737650,51.989926,4.333441,51.989914,4.332564
51.990020,4.333009,359.459399,51.990022,4.333447,51.990017,4.332571
51.990120,4.333015,359.484295,51.990122,4.333453,51.990117,4.332576
51.990220,4.333020,359.483963,51.990222,4.333459,51.990217,4.332582
51.990319,4.333026,359.483631,51.990322,4.333464,51.990317,4.332588
51.990419,4.333032,359.483299,51.990422,4.333470,51.990417,4.332594
51.990519,4.333038,359.482967,51.990522,4.333476,51.990517,4.332600
51.990619,4.333044,359.482636,51.990621,4.333482,51.990616,4.332606
51.990718,4.333043,0.060186,51.990718,4.333481,51.990718,4.332605
51.990815,4.333020,2.120020,51.990805,4.333458,51.990825,4.332582
51.990914,4.333004,1.401672,51.990907,4.333442,51.990920,4.332566
51.991014,4.333004,359.974387,51.991014,4.333443,51.991013,4.332566
51.991114,4.333005,359.974371,51.991114,4.333443,51.991113,4.332567
51.991214,4.333005,359.974355,51.991214,4.333443,51.991213,4.332567
51.991314,4.333005,359.974338,51.991314,4.333443,51.991313,4.332567
51.991414,4.333006,359.974322,51.991414,4.333444,51.991413,4.332568
51.991514,4.333007,359.916328,51.991514,4.333445,51.991513,4.332568
51.991613,4.333008,359.850350,51.991614,4.333446,51.991613,4.332570
51.991713,4.333018,359.140645,51.991717,4.333456,51.991709,4.332580
51.991812,4.333031,358.819702,51.991818,4.333469,51.991806,4.332593
51.991911,4.333043,358.937814,51.991916,4.333481,51.991906,4.332605
51.992010,4.333057,358.726945,51.992016,4.333495,51.992004,4.332619
51.992109,4.333072,358.709829,51.992115,4.333510,51.992103,4.332633
51.992208,4.333086,358.709017,51.992214,4.333524,51.992202,4.332648
51.992307,4.333100,358.708204,51.992313,4.333538,51.992301,4.332662
51.992406,4.333115,358.698433,51.992412,4.333553,51.992400,4.332677
51.992505,4.333129,358.673513,51.992511,4.333567,51.992499,4.332691
51.992604,4.333144,358.672680,51.992610,4.333582,51.992598,4.332706
51.992703,4.333159,358.671847,51.992709,4.333597,51.992697,4.332721
51.992801,4.333179,358.140810,51.992809,4.333617,51.992792,4.332741
51.992897,4.333207,357.464015,51.992909,4.333644,51.992885,4.332769
51.992995,4.333220,358.746279,51.993001,4.333658,51.992989,4.332782
51.993095,4.333222,359.853517,51.993095,4.333660,51.993094,4.332784
51.993193,4.333205,1.544690,51.993186,4.333643,51.993201,4.332767
51.993292,4.333195,0.926894,51.993288,4.333633,51.993297,4.332757
51.993392,4.333197,359.761701,51.993393,4.333636,51.993391,4.332759
