y,x,b,x1,y1,x2,y2
52.014193,4.331122,6.041400,52.014165,4.331558,52.014222,4.330686
52.014279,4.331071,6.044263,52.014251,4.331507,52.014307,4.330635
52.014365,4.331019,6.047125,52.014336,4.331455,52.014393,4.330583
52.014451,4.330968,6.049987,52.014422,4.331404,52.014479,4.330532
52.014537,4.330917,6.052849,52.014508,4.331353,52.014565,4.330481
52.014560,4.331010,324.210583,52.014717,4.331366,52.014402,4.330655
52.014581,4.331108,320.815569,52.014751,4.331448,52.014410,4.330768
52.014520,4.331170,190.230335,52.014568,4.330738,52.014472,4.331601
52.014434,4.331220,185.928267,52.014462,4.330784,52.014406,4.331656
52.014348,4.331271,185.925447,52.014375,4.330835,52.014320,4.331707
52.014313,4.331344,200.429730,52.014407,4.330933,52.014219,4.331755
