y,x,b,x1,y1,x2,y2
52.014353,4.330666,189.667463,52.014398,4.330234,52.014307,4.331098
52.014281,4.330735,189.663664,52.014326,4.330303,52.014235,4.331167
52.014209,4.330805,189.659866,52.014254,4.330372,52.014163,4.331237
52.014136,4.330874,189.656067,52.014182,4.330442,52.014091,4.331306
52.014064,4.330943,189.652268,52.014110,4.330511,52.014019,4.331375
52.013992,4.331012,189.648469,52.014038,4.330580,52.013947,4.331445
52.013920,4.331082,189.642836,52.013965,4.330650,52.013875,4.331514
52.013848,4.331151,189.595196,52.013893,4.330719,52.013803,4.331583
52.013775,4.331219,189.432657,52.013819,4.330787,52.013731,4.331652
52.013702,4.331288,189.428896,52.013747,4.330856,52.013658,4.331720
52.013629,4.331356,189.425135,52.013674,4.330924,52.013585,4.331789
52.013557,4.331425,189.421374,52.013601,4.330993,52.013512,4.331857
52.013484,4.331494,189.417613,52.013528,4.331061,52.013440,4.331926
52.013411,4.331562,189.413851,52.013455,4.331130,52.013367,4.331995
52.013338,4.331631,189.410090,52.013382,4.331198,52.013294,4.332063
52.013265,4.331699,189.406328,52.013309,4.331267,52.013221,4.332132
52.013193,4.331768,189.402566,52.013237,4.331335,52.013148,4.332200
52.013120,4.331836,189.398805,52.013164,4.331404,52.013076,4.332269
52.013047,4.331905,189.395042,52.013091,4.331472,52.013003,4.332337
52.012974,4.331973,189.391280,52.013018,4.331541,52.012930,4.332406
52.012901,4.332042,189.387518,52.012945,4.331609,52.012857,4.332474
52.012828,4.332110,189.383756,52.012872,4.331678,52.012784,4.332543
52.012753,4.332176,188.678044,52.012794,4.331742,52.012712,4.332609
52.012673,4.332235,187.424975,52.012708,4.331801,52.012638,4.332670
52.012597,4.332301,188.593110,52.012637,4.331867,52.012557,4.332734
52.012525,4.332369,189.445287,52.012569,4.331937,52.012480,4.332802
52.012452,4.332438,189.441509,52.012496,4.332006,52.012408,4.332871
52.012379,4.332507,189.437730,52.012424,4.332075,52.012335,4.332939
52.012307,4.332576,189.393397,52.012351,4.332143,52.012263,4.333008
52.012234,4.332644,189.303219,52.012277,4.332211,52.012190,4.333077
