y,x,b,x1,y1,x2,y2
52.014806,4.330753,338.615346,52.014905,4.331161,52.014708,4.330345
52.014845,4.330845,337.235200,52.014950,4.331249,52.014741,4.330441
52.014884,4.330937,337.075366,52.014989,4.331341,52.014779,4.330533
52.014923,4.331029,337.070956,52.015028,4.331433,52.014818,4.330626
52.014961,4.331122,337.066547,52.015066,4.331525,52.014856,4.330718
52.015000,4.331214,337.062138,52.015105,4.331617,52.014895,4.330810
52.015039,4.331306,337.057729,52.015144,4.331710,52.014934,4.330902
52.015078,4.331398,337.053321,52.015183,4.331802,52.014972,4.330994
52.015116,4.331490,337.048912,52.015221,4.331894,52.015011,4.331087
52.015155,4.331583,337.044505,52.015260,4.331986,52.015050,4.331179
52.015194,4.331675,337.040097,52.015299,4.332078,52.015089,4.331271
52.015232,4.331767,337.035690,52.015338,4.332171,52.015127,4.331363
52.015271,4.331859,337.031283,52.015376,4.332263,52.015166,4.331456
52.015309,4.331952,336.562717,52.015417,4.332354,52.015202,4.331549
52.015347,4.332044,336.172980,52.015456,4.332445,52.015238,4.331643
52.015384,4.332137,336.168605,52.015493,4.332538,52.015275,4.331736
52.015421,4.332230,336.164230,52.015530,4.332631,52.015312,4.331829
52.015459,4.332323,336.159855,52.015568,4.332724,52.015350,4.331922
52.015496,4.332415,335.931451,52.015606,4.332816,52.015386,4.332015
52.015533,4.332509,335.629631,52.015644,4.332908,52.015421,4.332109
52.015569,4.332602,335.625278,52.015680,4.333001,52.015458,4.332202
52.015607,4.332694,336.382348,52.015715,4.333096,52.015499,4.332292
52.015648,4.332785,338.195753,52.015748,4.333192,52.015547,4.332378
52.015688,4.332877,338.191314,52.015789,4.333284,52.015588,4.332470
52.015729,4.332968,338.186876,52.015829,4.333375,52.015629,4.332561
52.015770,4.333059,338.182438,52.015870,4.333466,52.015670,4.332652
52.015811,4.333151,338.178001,52.015911,4.333558,52.015710,4.332744
52.015851,4.333242,338.173563,52.015952,4.333649,52.015751,4.332835
52.015892,4.333333,338.169126,52.015992,4.333740,52.015792,4.332927
52.015933,4.333425,338.164690,52.016033,4.333832,52.015832,4.333018
52.015973,4.333516,338.160254,52.016074,4.333923,52.015873,4.333109
52.016014,4.333607,338.155817,52.016115,4.334014,52.015914,4.333201
52.016055,4.333699,338.151382,52.016155,4.334106,52.015955,4.333292
52.016096,4.333790,338.222392,52.016196,4.334197,52.015996,4.333383
52.016138,4.333881,338.762771,52.016235,4.334289,52.016040,4.333472
