y,x,b,x1,y1,x2,y2
52.007716,4.357947,330.998089,52.007847,4.358331,52.007585,4.357564
52.007752,4.358041,336.088911,52.007861,4.358441,52.007642,4.357640
52.007788,4.358134,336.440197,52.007896,4.358535,52.007680,4.357732
52.007598,4.357359,8.274077,52.007559,4.357793,52.007636,4.356925
52.007674,4.357294,8.277665,52.007635,4.357728,52.007713,4.356860
52.007750,4.357229,8.281253,52.007711,4.357663,52.007789,4.356795
52.007825,4.357163,8.484232,52.007785,4.357597,52.007865,4.356730
52.007900,4.357097,8.540916,52.007860,4.357531,52.007940,4.356664
52.007975,4.357031,8.544562,52.007935,4.357465,52.008015,4.356598
52.008050,4.356965,8.548208,52.008010,4.357399,52.008090,4.356532
52.008126,4.356900,8.382157,52.008087,4.357333,52.008165,4.356466
52.008202,4.356835,8.333423,52.008163,4.357268,52.008241,4.356401
52.008278,4.356770,8.337018,52.008239,4.357203,52.008317,4.356336
52.008354,4.356705,8.340612,52.008315,4.357138,52.008393,4.356271
52.008427,4.356637,9.010952,52.008385,4.357070,52.008470,4.356204
52.008501,4.356569,9.078581,52.008458,4.357001,52.008543,4.356136
52.008574,4.356500,9.080775,52.008531,4.356933,52.008616,4.356068
52.008647,4.356432,9.084528,52.008604,4.356865,52.008689,4.355999
52.008720,4.356364,9.088281,52.008677,4.356797,52.008763,4.355931
52.008793,4.356296,9.092034,52.008750,4.356729,52.008836,4.355863
52.008866,4.356228,9.095787,52.008824,4.356660,52.008909,4.355795
52.008940,4.356160,9.048837,52.008897,4.356593,52.008982,4.355727
52.009013,4.356092,8.972614,52.008971,4.356525,52.009055,4.355659
52.009087,4.356024,8.976340,52.009045,4.356457,52.009129,4.355591
52.005896,4.358949,8.121051,52.005858,4.359383,52.005934,4.358515
52.005973,4.358885,8.004923,52.005935,4.359319,52.006010,4.358451
52.006050,4.358822,7.934138,52.006013,4.359256,52.006087,4.358388
52.006127,4.358758,7.937663,52.006090,4.359192,52.006164,4.358324
52.006204,4.358694,7.941188,52.006167,4.359129,52.006241,4.358260
52.006281,4.358631,7.944713,52.006244,4.359065,52.006318,4.358197
52.006358,4.358567,7.948237,52.006321,4.359001,52.006396,4.358133
52.006435,4.358504,7.951762,52.006398,4.358938,52.006473,4.358070
52.006513,4.358440,7.955286,52.006475,4.358874,52.006550,4.358006
52.006590,4.358376,7.958811,52.006552,4.358810,52.006627,4.357942
52.006666,4.358312,8.182088,52.006628,4.358745,52.006704,4.357878
52.006740,4.358244,8.860947,52.006698,4.358677,52.006781,4.357811
52.006811,4.358174,9.352342,52.006768,4.358607,52.006855,4.357742
52.006883,4.358105,9.356170,52.006839,4.358537,52.006927,4.357672
52.006961,4.358043,7.627890,52.006925,4.358478,52.006997,4.357609
52.007049,4.357996,5.275332,52.007024,4.358432,52.007074,4.357559
52.007136,4.357947,5.395267,52.007111,4.358383,52.007162,4.357511
