y,x,b,x1,y1,x2,y2
51.984832,4.332915,10.175827,51.984784,4.333346,51.984880,4.332484
51.984918,4.332867,4.666500,51.984896,4.333304,51.984940,4.332431
51.985010,4.332826,3.830821,51.984992,4.333263,51.985028,4.332389
51.985101,4.332785,3.833144,51.985083,4.333222,51.985119,4.332348
51.985188,4.332737,4.634844,51.985167,4.333174,51.985210,4.332300
51.985281,4.332706,2.881185,51.985267,4.333143,51.985294,4.332268
51.985381,4.332703,0.222494,51.985380,4.333141,51.985382,4.332265
51.985481,4.332701,0.222643,51.985480,4.333139,51.985482,4.332262
51.985580,4.332710,359.186641,51.985584,4.333148,51.985576,4.332272
51.985679,4.332722,358.934097,51.985684,4.333160,51.985674,4.332284
51.985778,4.332735,358.933395,51.985783,4.333173,51.985773,4.332297
51.985878,4.332747,358.932693,51.985883,4.333185,51.985873,4.332309
51.985977,4.332760,358.931990,51.985982,4.333198,51.985972,4.332322
51.986076,4.332772,358.931288,51.986081,4.333210,51.986071,4.332334
51.986175,4.332784,358.930585,51.986180,4.333222,51.986170,4.332346
51.986275,4.332797,358.929883,51.986280,4.333235,51.986269,4.332359
51.986374,4.332800,359.726715,51.986376,4.333238,51.986373,4.332362
51.986474,4.332800,0.000000,51.986474,4.333238,51.986474,4.332362
51.986574,4.332800,0.000000,51.986574,4.333238,51.986574,4.332362
51.986674,4.332800,0.000000,51.986674,4.333238,51.986674,4.332362
51.986774,4.332800,0.000000,51.986774,4.333238,51.986774,4.332362
51.986874,4.332800,0.000000,51.986874,4.333238,51.986874,4.332362
51.986974,4.332800,0.000000,51.986974,4.333238,51.986974,4.332362
51.987074,4.332800,0.000000,51.987074,4.333238,51.987074,4.332362
51.987174,4.332800,0.000000,51.987174,4.333238,51.987174,4.332362
51.987274,4.332790,0.852203,51.987270,4.333228,51.987278,4.332352
51.987373,4.332777,1.149732,51.987367,4.333215,51.987378,4.332339
51.987472,4.332764,1.150481,51.987467,4.333202,51.987477,4.332326
51.987571,4.332752,1.055540,51.987566,4.333190,51.987576,4.332314
51.987670,4.332740,1.018466,51.987666,4.333178,51.987675,4.332302
51.987770,4.332732,0.669753,51.987767,4.333170,51.987773,4.332294
51.987868,4.332750,358.449164,51.987875,4.333188,51.987861,4.332312
51.987967,4.332768,358.448165,51.987974,4.333205,51.987959,4.332330
51.988065,4.332785,358.447167,51.988072,4.333223,51.988058,4.332347
51.988163,4.332803,358.446168,51.988171,4.333241,51.988156,4.332365
51.988262,4.332820,358.445169,51.988269,4.333258,51.988255,4.332383
51.988360,4.332838,358.444170,51.988368,4.333276,51.988353,4.332400
51.988460,4.332845,359.376645,51.988463,4.333283,51.988457,4.332407
51.988560,4.332852,359.437407,51.988562,4.333290,51.988557,4.332414
51.988660,4.332858,359.437041,51.988662,4.333296,51.988657,4.332420
51.988759,4.332865,359.436675,51.988762,4.333303,51.988757,4.332427
51.989524,4.332946,358.740877,51.989530,4.333384,51.989518,4.332507
51.989623,4.332960,358.740070,51.989629,4.333398,51.989617,4.332522
51.989722,4.332974,358.739263,51.989728,4.333412,51.989716,4.332536
51.989821,4.332988,358.738457,51.989827,4.333426,51.989815,4.332550
51.989920,4.333003,358.737650,51.989926,4.333441,51.989914,4.332564
51.990020,4.333009,359.459399,51.990022,4.333447,51.990017,4.332571
51.990120,4.333015,359.484295,51.990122,4.333453,51.990117,4.332576
51.990220,4.333020,359.483963,51.990222,4.333459,51.990217,4.332582
51.990319,4.333026,359.483631,51.990322,4.333464,51.990317,4.332588
51.990419,4.333032,359.483299,51.990422,4.333470,51.990417,4.332594
51.990519,4.333038,359.482967,51.990522,4.333476,51.990517,4.332600
51.990619,4.333044,359.482636,51.990621,4.333482,51.990616,4.332606
51.990718,4.333043,0.060186,51.990718,4.333481,51.990718,4.332605
51.990815,4.333020,2.120020,51.990805,4.333458,51.990825,4.332582
51.990914,4.333004,1.401672,51.990907,4.333442,51.990920,4.332566
51.991014,4.333004,359.974387,51.991014,4.333443,51.991013,4.332566
51.991114,4.333005,359.974371,51.991114,4.333443,51.991113,4.332567
51.991214,4.333005,359.974355,51.991214,4.333443,51.991213,4.332567
51.991314,4.333005,359.974338,51.991314,4.333443,51.991313,4.332567
51.991414,4.333006,359.974322,51.991414,4.333444,51.991413,4.332568
51.991514,4.333007,359.916328,51.991514,4.333445,51.991513,4.332568
51.991613,4.333008,359.850350,51.991614,4.333446,51.991613,4.332570
51.991713,4.333018,359.140645,51.991717,4.333456,51.991709,4.332580
51.991812,4.333031,358.819702,51.991818,4.333469,51.991806,4.332593
51.991911,4.333043,358.937814,51.991916,4.333481,51.991906,4.332605
51.992010,4.333057,358.726945,51.992016,4.333495,51.992004,4.332619
51.992109,4.333072,358.709829,51.992115,4.333510,51.992103,4.332633
51.992208,4.333086,358.709017,51.992214,4.333524,51.992202,4.332648
51.992307,4.333100,358.708204,51.992313,4.333538,51.992301,4.332662
51.992406,4.333115,358.698433,51.992412,4.333553,51.992400,4.332677
51.992505,4.333129,358.673513,51.992511,4.333567,51.992499,4.332691
51.992604,4.333144,358.672680,51.992610,4.333582,51.992598,4.332706
51.992703,4.333159,358.671847,51.992709,4.333597,51.992697,4.332721
51.992801,4.333179,358.140810,51.992809,4.333617,51.992792,4.332741
51.992897,4.333207,357.464015,51.992909,4.333644,51.992885,4.332769
51.992995,4.333220,358.746279,51.993001,4.333658,51.992989,4.332782
51.993095,4.333222,359.853517,51.993095,4.333660,51.993094,4.332784
51.993193,4.333205,1.544690,51.993186,4.333643,51.993201,4.332767
51.993292,4.333195,0.926894,51.993288,4.333633,51.993297,4.332757
51.993392,4.333197,359.761701,51.993393,4.333636,51.993391,4.332759
