y,x,b,x1,y1,x2,y2
51.984915,4.333380,358.437713,51.984922,4.333818,51.984908,4.332942
51.984930,4.333478,315.540291,51.985119,4.333791,51.984741,4.333166
51.984945,4.333577,315.625350,51.985133,4.333890,51.984756,4.333264
51.984960,4.333676,315.622487,51.985148,4.333989,51.984771,4.333363
51.984975,4.333775,315.619625,51.985163,4.334088,51.984786,4.333462
51.984990,4.333874,315.616763,51.985178,4.334187,51.984801,4.333561
51.985009,4.333972,322.976830,51.985171,4.334322,51.984847,4.333622
51.985030,4.334070,325.407160,51.985183,4.334430,51.984877,4.333709
51.985051,4.334168,325.403406,51.985204,4.334528,51.984898,4.333807
51.985072,4.334265,325.399652,51.985225,4.334626,51.984919,4.333905
51.985093,4.334363,325.395899,51.985246,4.334724,51.984940,4.334003
51.985116,4.334460,328.352726,51.985258,4.334833,51.984975,4.334087
51.985142,4.334557,330.264584,51.985275,4.334938,51.985008,4.334177
51.985167,4.334654,330.301003,51.985300,4.335034,51.985033,4.334273
51.985192,4.334751,330.304698,51.985326,4.335131,51.985058,4.334370
51.985217,4.334847,330.300560,51.985351,4.335228,51.985083,4.334467
51.985239,4.334945,326.930067,51.985386,4.335312,51.985092,4.334578
51.985260,4.335043,325.383444,51.985414,4.335403,51.985107,4.334682
51.985281,4.335140,325.379692,51.985435,4.335501,51.985128,4.334780
51.985302,4.335238,325.375941,51.985456,4.335599,51.985149,4.334878
51.985316,4.335337,312.279840,51.985515,4.335632,51.985116,4.335042
51.985326,4.335437,305.354712,51.985546,4.335690,51.985106,4.335183
51.985337,4.335536,305.352826,51.985557,4.335790,51.985117,4.335283
51.985347,4.335636,305.350939,51.985567,4.335889,51.985127,4.335382
51.985358,4.335735,305.349053,51.985578,4.335988,51.985138,4.335482
51.985369,4.335834,307.301553,51.985583,4.336100,51.985154,4.335569
51.985382,4.335934,310.777079,51.985586,4.336220,51.985177,4.335647
51.985394,4.336033,310.774682,51.985599,4.336319,51.985190,4.335747
51.985407,4.336132,310.772284,51.985611,4.336418,51.985203,4.335846
51.985420,4.336231,310.769887,51.985624,4.336517,51.985215,4.335945
51.985432,4.336330,310.767491,51.985637,4.336616,51.985228,4.336044
51.985447,4.336429,315.019703,51.985638,4.336739,51.985256,4.336119
51.985463,4.336528,318.166616,51.985643,4.336854,51.985284,4.336201
51.985480,4.336627,318.163513,51.985660,4.336953,51.985300,4.336300
51.985496,4.336725,318.160410,51.985676,4.337052,51.985316,4.336399
51.985513,4.336824,318.157308,51.985693,4.337150,51.985333,4.336497
51.985529,4.336922,318.154206,51.985709,4.337249,51.985349,4.336596
51.985545,4.337021,318.151104,51.985725,4.337347,51.985365,4.336695
51.985562,4.337120,318.148002,51.985742,4.337446,51.985382,4.336793
51.985578,4.337218,318.144901,51.985758,4.337545,51.985398,4.336892
51.985595,4.337317,318.141800,51.985775,4.337643,51.985415,4.336991
51.985611,4.337416,318.138699,51.985791,4.337742,51.985431,4.337089
51.985627,4.337514,318.135599,51.985807,4.337841,51.985447,4.337188
51.985644,4.337613,318.132499,51.985824,4.337939,51.985464,4.337287
51.985660,4.337712,318.129399,51.985840,4.338038,51.985480,4.337385
51.985676,4.337810,318.126300,51.985857,4.338137,51.985496,4.337484
51.985690,4.337909,313.071681,51.985887,4.338208,51.985493,4.337610
