y,x,b,x1,y1,x2,y2
52.011847,4.332516,97.929933,52.011579,4.332456,52.012114,4.332577
52.011843,4.332416,100.073619,52.011578,4.332339,52.012109,4.332493
52.011824,4.332320,139.457752,52.011648,4.331987,52.011999,4.332653
52.011784,4.332228,157.859546,52.011683,4.331822,52.011886,4.332634
52.011745,4.332136,157.863994,52.011643,4.331730,52.011847,4.332542
52.011706,4.332044,157.868442,52.011604,4.331638,52.011807,4.332450
52.011666,4.331952,157.872891,52.011564,4.331546,52.011768,4.332358
52.011627,4.331860,157.877340,52.011525,4.331454,52.011728,4.332266
52.011587,4.331768,157.881789,52.011486,4.331362,52.011689,4.332175
52.011548,4.331677,157.886239,52.011446,4.331270,52.011649,4.332083
52.011508,4.331585,158.079179,52.011407,4.331178,52.011609,4.331991
52.011468,4.331493,158.109466,52.011368,4.331086,52.011569,4.331900
52.011428,4.331401,158.113923,52.011328,4.330995,52.011529,4.331808
52.011387,4.331311,159.253805,52.011291,4.330901,52.011482,4.331720
52.011339,4.331223,162.368255,52.011257,4.330805,52.011420,4.331641
52.011296,4.331133,159.918928,52.011203,4.330721,52.011388,4.331544
52.011253,4.331042,159.864903,52.011160,4.330631,52.011346,4.331454
52.011211,4.330952,159.421928,52.011116,4.330541,52.011306,4.331362
52.011169,4.330861,159.426414,52.011074,4.330450,52.011263,4.331271
52.011127,4.330770,159.430901,52.011032,4.330360,52.011221,4.331180
52.011085,4.330679,159.435388,52.010990,4.330269,52.011179,4.331090
52.011042,4.330589,159.439875,52.010948,4.330178,52.011137,4.330999
52.011001,4.330498,159.243827,52.010905,4.330088,52.011096,4.330908
52.010960,4.330407,158.900874,52.010863,4.329998,52.011057,4.330815
52.010919,4.330315,158.905352,52.010822,4.329906,52.011016,4.330724
